Code,Language,GoogleTranslate,DeepL,GPT,Gemini,Copilot,Claude,GrammaticalGender,Family
aar,Afar,1,0,0,0,0,0,1,Afro-Asiatic
sqi,Albanian,1,0,1,1,0,0,1,Indo-European
amh,Amharic,1,0,1,0,0,0,1,Afro-Asiatic
ara,Arabic,1,1,1,1,1,1,1,Afro-Asiatic
bel,Belarusian,1,0,1,1,0,0,1,Indo-European
bre,Breton,1,0,0,0,0,0,1,Indo-European
bul,Bulgarian,1,1,1,1,0,1,1,Indo-European
cat,Catalan,1,0,1,1,1,0,1,Indo-European
che,Chechen,1,0,0,0,0,0,1,Nakh-Daghestanian
cos,Corsican,1,0,1,0,0,0,1,Indo-European
hrv,Croatian,1,0,1,1,0,1,1,Indo-European
ces,Czech,1,1,1,1,1,1,1,Indo-European
nld,Dutch,1,1,1,1,1,1,1,Indo-European
fao,Faroese,1,0,0,0,0,0,1,Indo-European
fra,French,1,1,1,1,1,1,1,Indo-European
glg,Galician,1,0,1,0,0,0,1,Indo-European
deu,German,1,1,1,1,1,1,1,Indo-European
ell,Greek,1,1,1,1,0,1,1,Indo-European
guj,Gujarati,1,0,1,1,0,1,1,Indo-European
heb,Hebrew,1,0,1,1,1,1,1,Afro-Asiatic
hin,Hindi,1,0,1,1,0,1,1,Indo-European
isl,Icelandic,1,0,1,1,0,1,1,Indo-European
gle,Irish,1,0,1,1,0,0,1,Indo-European
ita,Italian,1,1,1,1,1,1,1,Indo-European
kok,Konkani,1,0,0,0,0,0,1,Indo-European
kur,Kurdish,1,0,1,1,0,0,1,Indo-European
lat,Latin,1,0,1,1,0,0,1,Indo-European
lav,Latvian,1,1,1,1,0,1,1,Indo-European
lim,Limburgish,1,0,0,0,0,0,1,Indo-European
lit,Lithuanian,1,1,1,1,0,1,1,Indo-European
ltz,Luxembourgish,1,0,1,0,0,0,1,Indo-European
mkd,Macedonian,1,0,1,0,0,0,1,Indo-European
mlt,Maltese,1,0,1,1,0,0,1,Afro-Asiatic
glv,Manx,1,0,0,0,0,0,1,Indo-European
mar,Marathi,1,0,1,1,0,1,1,Indo-European
nor,Norwegian,1,1,1,1,1,1,1,Indo-European
oci,Occitan,1,0,0,0,0,0,1,Indo-European
orm,Oromo,1,0,0,0,0,0,1,Afro-Asiatic
pus,Pashto,1,0,1,1,0,0,1,Indo-European
pol,Polish,1,1,1,1,1,1,1,Indo-European
por,Portuguese,1,1,1,1,1,1,1,Indo-European
pan,Punjabi,1,0,1,1,0,1,1,Indo-European
rom,Romani,1,0,0,0,0,0,1,Indo-European
ron,Romanian,1,1,1,1,0,1,1,Indo-European
rus,Russian,1,1,1,1,1,1,1,Indo-European
san,Sanskrit,1,0,0,0,0,0,1,Indo-European
srp,Serbian,1,0,1,1,0,1,1,Indo-European
sna,Shona,1,0,1,0,0,0,1,Niger-Congo
scn,Sicilian,1,0,0,0,0,0,1,Indo-European
snd,Sindhi,1,0,1,0,0,0,1,Indo-European
slk,Slovak,1,1,1,1,0,1,1,Indo-European
som,Somali,1,0,1,1,0,0,1,Afro-Asiatic
spa,Spanish,1,1,1,1,1,1,1,Indo-European
swa,Swahili,1,0,1,1,0,1,1,Niger-Congo
swe,Swedish,1,1,1,1,1,1,1,Indo-European
tzm,Tamazight,1,0,0,0,0,0,1,Afro-Asiatic
tel,Telugu,1,0,1,1,0,1,1,Dravidian
ukr,Ukrainian,1,1,1,1,1,1,1,Indo-European
urd,Urdu,1,0,1,1,0,1,1,Indo-European
vec,Venetian,1,0,0,0,0,0,1,Indo-European
cym,Welsh,1,0,1,1,1,0,1,Indo-European
yid,Yiddish,1,0,1,0,0,0,1,Indo-European
