Code,Language
aar,Afar
awn,Agaw
amp,Alamblak
sqi,Albanian
amh,Amharic
ara,Arabic
ast,Asturian
bej,Beja
bel,Belarusian
bre,Breton
bul,Bulgarian
cat,Catalan
che,Chechen
cop,Coptic
cor,Cornish
cos,Corsican
hrv,Croatian
ces,Czech
ces,Czech
nld,Dutch
fao,Faroese
fra,French
fur,Friulan
gla,Gaelic
glg,Galician
deu,German
ell,Greek
guj,Gujarati
hts,Hadza
heb,Hebrew
hin,Hindi
isl,Icelandic
gle,Irish
ita,Italian
mwp,Kalaw Lagaw Ya
kan,Kannada
kas,Kashmiri
csb,Kashubian
kin,Kinyarwanda
kok,Konkani
kur,Kurdish
lld,Ladin
lat,Latin
lav,Latvian
lim,Limburgish
lit,Lithuanian
ltz,Luxembourgish
mkd,Macedonian
mlt,Maltese
glv,Manx
mar,Marathi
mwl,Mirandese
cag,Nivaclé
nor,Norwegian
oci,Occitan
orm,Oromo
pus,Pashto
pol,Polish
pol,Polish
por,Portuguese
pan,Punjabi
rom,Romani
ron,Romanian
run,Rundi
rus,Russian
rue,Rusyn
ssy,Saho
san,Sanskrit
srd,Sardinian
srp,Serbian
sna,Shona
scn,Sicilian
snd,Sindhi
slk,Slovak
slk,Slovak
slv,Slovenian
som,Somali
spa,Spanish
swa,Swahili
swe,Swedish
zgh,Tamazight
tmh,Tuareg
ukr,Ukrainian
urd,Urdu
vec,Venetian
cym,Welsh
wro,Worrorra
yid,Yiddish
zne,Zande
zza,Zazaki
