name,spa_m,spa_f,spa_n
Afghanistan,afgano,afgana,
Albania,albanés,albanésa,
Algeria,argelino,argelina,
Andorra,andorrano,andorrana,
Angola,angoleño,angoleña,
Antigua and Barbuda,antiguano,antiguana,
Argentina,argentino,argentina,
Armenia,armenio,armenia,
Australia,australiano,australiana,
Austria,austriaco,austriaca,
Azerbaijan,azerbaiyano,azerbaiyana,
Bahamas,bahameño,bahameña,
Bahrain,,,bareiní
Bangladesh,,,bangladesí
Barbados,,,barbadense
Belarus,bielorruso,bielorrusa,
Belgium,,,belga
Belize,beliceño,beliceña,
Benin,beninés,beninésa,
Bhutan,butanés,butanésa,
"Bolivia, Plurinational State of",boliviano,boliviana,
Bosnia and Herzegovina,bosnioherzegovino,bosnioherzegovina,
Botswana,botsuano,botsuana,
Brazil,brasileño,brasileña,
Brunei,bruneano,bruneana,
Bulgaria,búlgaro,búlgara,
Burkina Faso,burkinés,burkinésa,
Burma/Myanmar,,,de Myanmar/Birmania
Burundi,burundés,burundésa,
Cabo Verde,caboverdiano,caboverdiana,
Cambodia,camboyano,camboyana,
Cameroon,camerunés,camerunésa,
Canada,,,canadiense
Central African Republic,centroafricano,centroafricana,
Chad,chadiano,chadiana,
Chile,chileno,chilena,
China,chino,china,
Colombia,colombiano,colombiana,
Comoros,,,comorense
Congo,congoleño,congoleña,
Costa Rica,,,costarricense
Côte d'Ivoire,costamarfileño,costamarfileña,
Croatia,,,croata
Cuba,cubano,cubana,
Cyprus,,,chipriota
Czech Republic,checo,checa,
Denmark,danés,danésa,
Djibouti,Yibutiano,Yibutiana,
Dominican Republic,dominicano,dominicana,
Dominican Republic,dominiqués,dominiquésa,
Ecuador,ecuatoriano,ecuatoriana,
Egypt,egipcio,egipcia,
El Salvador,salvadoreño,salvadorena,
England,inglés,inglésa,
Equatorial Guinea,ecuatoguineano,ecuatoguineana,
Eritrea,eritreo,eritra,
Estonia,estonio,estona,
Eswatini,,,esuatiní
Ethiopia,,,etíope
Falkland Islands,,,malvinense
Faroe Islands,feroés,feroésa,
Federated States of Micronesia,micronesio,micronesia,
Fiji,fiyiano,fiyiana,
Finland,finlandés,finlandésa,
France,francés,francésa,
Gabon,gabonés,gabonésa,
Georgia,georgiano,georgiana,
Germany,alemán,,
Ghana,ghanés,ghanésa,
Granada,granadino,granadina,
Great Britain,británico,británica,
Greece,griego,griega,
Greenland,groenlandés,groenlandésa,
Guatemala,guatemalteco,guatemalteca,
Guinea,guineano,guineana,
Guinea-Bissau,,,de Guinea-Bisáu
Guyana,guyanés,guyanésa,
Haiti,haitiano,haitiana,
Honduras,hondureño,hondureña,
Hong Kong,hongkonés,hongkonésa,
Hungary,húngaro,húngara,
Iceland,islandés,islandésa,
India,indio,india,
Indonesia,indonesio,indonesia,
Iran ,,,iraní
Iraq,,,iraquí
Ireland,irlandés,irlandésa,
Israel,,,israelí
Italy,italiano,italiana,
Jamaica,jamaicano,jamaicana,
Japan,japonés,japonésa,
Jordan,jordano,jordana,
Kazakhstan,kazajo,kazaja,
Kenya,,,keniata
Kiribati,kiribatiano,kiribatiana,
Kosovo ,,,kosovar
Kuwait,,,kuwaití
Kyrgyzstan,,,kirguís
Lao People’s Democratic Republic,laosiano,laosiana,
Latvia,letón,,
Lebanon,libanés,libanésa,
Lesotho,,,lesotense
Liberia,liberiano,liberiana,
Libya,libio,libia,
Liechtenstein,liechtensteiniano,liechtensteiniana,
Lithuania,lituano,lituana,
Luxembourg,luxemburgués,luxemburguésa,
Macau,,,macaense
Madagascar,,,malgache
Malawi,,,malauí
Malaysia,malasio,malasia,
Maldives,maldivo,maldiva,
Mali,,,malí
Malta,maltés,maltésa,
Marshall Islands,marshalés,marshalésa,
Mauritania,mauritano,mauritana,
Mauritius,mauriciano,mauriciana,
Mexico,mexicano,mexicana,
Moldova/Republic of Moldova,moldavo,moldava,
Monaco,monegasco,monegasca,
Mongoloia,mongol,,
Montenegro,montenegrino,montenegrina,
Morocco,,,marroquí
Mozambique,mozambiqueño,mozambiqueña,
Naminia,namibio,namibia,
Nauru,nauruano,nauruana,
Nepal,nepalés,nepalésa,
Netherlands,neerlandés,neerlandésa,
New Zealand,neozelandés,neozelandésa,
Nicaragua,,,nicaragüense
Niger,nigerino,nigerina,
Nigeria,nigeriano,nigeriana,
North Korea,,,de la República Popular Democrática de Corea
North Macedonia,macedonio,macedonia,
Northern Ireland,norirlandés,norirlandésa,
Norway,noruego,noruega,
Oman,,,omaní
Pakistand,,,pakistaní
Palau,palauano,palauana,
Palestine ,palestino,palestina,
Panama,panameño,panameña,
Papua New Guinea,,,papú
Paraguay,paraguayo,paraguaya,
Peru,peruano,peruana,
Philippines,filipino,filipina,
Poland,polaco,polaca,
Portugal,portugués,portuguésa,
Puerto Rico,puertorriqueño,puertorriqueña,
Romania,rumano,rumana,
Russian Federation,ruso,rusa,
Rwanda,ruandés,ruandésa,
Saint Kitts and Nevis,sancristobaleño,sancristobaleña,
Saint Lucia,,,santalucense
Saint Vincent and the Grenadines,sanvicentino,sanvicentina,
Samoa,samoano,samoana,
San Marino,,,sanmarinense
Saudi Arabia,,,saudí
Scotland,escocés,escocésa,
Senegal,senegalés,senegalésa,
Serbia,serbio,serbia,
Seychelles,,,seychellense
Sierra Leone,sierraleonés,sierraleonésa,
Singapore,,,singapurense
Slovakia,eslovaco,eslovaca,
Slovenia,esloveno,eslovena,
Solomon Islands,,,salomonense
Somalia,,,somalí
South Africa,sudafricano,sudafricana,
South Korea,,,de la República de Corea
South Sudan,,,sursudanés
Spain,español,,
Sri Lanka,esrilanqués,esrilanquésa,
Sudan,,,sudanés
Suriname,surinamés,surinamésa,
Swaziland,,,suazi
Sweden,sueco,sueca,
Switzerland,suizo,suiza,
Syria,sirio,siria,
São Tomé and Príncipe,,,santotomense
Taiwan,taiwanés,taiwanésa,
Tajikistan,tayiko,tayika,
Tanzania,tanzano,tanzaa,
Thailand,tailandés,tailandésa,
The Gambia,gambiano,gambiana,
TImor-Leste,,,timorense
Togo,togolés,togolésa,
Tonga,tongano,tongana,
Trinidad and Tobago,,,trinitense
Tunisia,tunecino,tunecina,
"Turkey, Türkiye",turco,turca,
Turkmenistan,turcomano,turcomana,
Tuvalu,tuvaluano,tuvaluana,
Uganda,ugandés,ugandésa,
Ukraine,ucraniano,ucraniana,
United Arab Emirates ,,,emiratí
United Kingdom of Great Britain and Northern Ireland,británico,británia,
United Republic of Tanzania,tanzano,tanzana,
United States of America ,,,estadounidense
Uruguay,uruguayo,uruguaya,
Uzbekistan,uzbeko,uzbeka,
Vanuatu,,,vanuatuense
Venezuela,venezolano,venezolana,
Vietnam,,,vietnamita
Wales,galés,galésa,
Yemen,,,yemení
Zambia,zambiano,zambiana,
Zimbabwe,,,zimbabuense
